"cell_type","MonocyteScore","ResidentScore"
"Macrophage_Kupffer",1.55394023986794,-0.339651436258614
"Macrophage_Kupffer",0.491957531921863,-0.230177209536359
"S100A8hi_macrophage",-0.383530214639808,-0.175461855271049
"Macrophage_Kupffer",-0.266974631872236,2.99929863907797
"Macrophage_Kupffer",-0.407075531664518,2.91724459943616
"Macrophage_Kupffer",-0.441371553708782,1.59636038637833
"Macrophage_Kupffer",-0.396782900445917,-0.35936834080817
"Macrophage_Kupffer",-0.43244333116035,2.39986529078093
"Macrophage_Kupffer",-0.275295532940858,-0.412284661148707
"Macrophage_Kupffer",0.769310916249201,-0.316854223304771
"Macrophage_Kupffer",0.8571482059712,-0.195695314217854
"Macrophage_Kupffer",2.01168844533053,-0.267190179549818
"Macrophage_Kupffer",-0.0347003646556667,-0.277147393109832
"Macrophage_Kupffer",-0.292226234816999,0.861029172525677
"Macrophage_Kupffer",0.0938460699478135,-0.300332511553144
"Macrophage_Kupffer",-0.401255270133091,2.39668686593739
"Macrophage_Kupffer",0.253232133730339,-0.2713874494532
"Macrophage_Kupffer",0.106664742834032,2.11958031782134
"Macrophage_Kupffer",0.0888549511944052,-0.259493372811785
"Macrophage_Kupffer",0.902758125870641,-0.137751518148107
"Macrophage_Kupffer",-0.22532894055592,-0.342381424833507
"Macrophage_Kupffer",1.94202755510512,-0.166447568048537
"Macrophage_Kupffer",-0.319646001305946,0.233869119882954
"Macrophage_Kupffer",-0.171693033354433,2.47567568421907
"S100A8hi_macrophage",0.225608156133849,-0.173466501661004
"S100A8hi_macrophage",-0.356130133127527,-0.182120062789828
"Macrophage_Kupffer",0.483658370314344,-0.325303960626131
"S100A8hi_macrophage",-0.0898924156086894,0.121456443162727
"Macrophage_Kupffer",0.0241696762053139,0.669215533708348
"Macrophage_Kupffer",-0.612336216329616,2.39254110673147
"Macrophage_Kupffer",0.90993093290624,-0.238539555696906
"Macrophage_Kupffer",0.139733444576348,2.79167030079595
"Macrophage_Kupffer",1.30026333272043,-0.327813860849953
"S100A8hi_macrophage",0.574411768335504,-0.223668791593456
"S100A8hi_macrophage",-0.374231787224062,0.125048137824327
"Macrophage_Kupffer",2.11423633490568,-0.0893426734306822
"Macrophage_Kupffer",1.71421250260685,-0.336842344818889
"Macrophage_Kupffer",2.02413154344223,-0.277948514969012
"Macrophage_Kupffer",-0.324220326743858,2.83369037844131
"Macrophage_Kupffer",-0.115710228013022,-0.307311201863021
"Macrophage_Kupffer",0.0590317163946064,-0.281617209654124
"Macrophage_Kupffer",1.57800345887977,-0.118684026590206
"Macrophage_Kupffer",-0.574345645003341,2.11710140584944
"Macrophage_Kupffer",0.0742413645312804,0.1699018441827
"Macrophage_Kupffer",-0.482043936098264,3.23236622054615
"Macrophage_Kupffer",2.50916173786378,-0.341079461997237
"Macrophage_Kupffer",0.653384499894834,-0.245133538303875
"Macrophage_Kupffer",-0.0659150566829994,-0.321282111979897
"Macrophage_Kupffer",-0.476554938274639,1.40716894637011
"Macrophage_Kupffer",0.33118557860334,2.73629621316539
"Macrophage_Kupffer",0.590084804714967,-0.185145078107913
"Macrophage_Kupffer",0.0926358159479415,-0.331131373458011
"Macrophage_Kupffer",0.621327222017995,-0.343858241359008
"Macrophage_Kupffer",-0.134288952087892,-0.336532759159446
"Neutrophil",1.16424927550852,-0.0314595330488919
"Macrophage_Kupffer",-0.0963116160738599,-0.0636233705822694
"Macrophage_Kupffer",0.147441837898578,-0.203044671391382
"Macrophage_Kupffer",-0.121005728899186,1.25446731607855
"Macrophage_Kupffer",-0.361281746793429,-0.174511952083561
"Macrophage_Kupffer",-0.573206404518092,0.584937642564958
"Macrophage_Kupffer",0.0170238514096847,-0.331207051227876
"Macrophage_Kupffer",0.578617906274615,-0.256000769039266
"Macrophage_Kupffer",1.54245833910271,-0.342032278082975
"Macrophage_Kupffer",-0.238998590075936,1.0301255654836
"Macrophage_Kupffer",-0.0959875969577837,-0.118793578334796
"Macrophage_Kupffer",0.278876705396734,-0.213251037227984
"Macrophage_Kupffer",-0.087628181064048,-0.142756146630708
"Macrophage_Kupffer",0.689339785286248,-0.189448531527181
"Macrophage_Kupffer",-0.527456111029863,-0.320833130293663
"Macrophage_Kupffer",-0.414437523378439,0.607373589322964
"Macrophage_Kupffer",-0.2815682007374,-0.133266321652647
"Macrophage_Kupffer",0.366033479407648,-0.134316761445075
"S100A8hi_macrophage",-0.425160491784606,-0.264267224486873
"Macrophage_Kupffer",0.19228094171767,-0.222489680020993
"Neutrophil",0.793225688035581,-0.250082106409331
"Macrophage_Kupffer",0.703300678325056,-0.26567151929682
"Macrophage_Kupffer",2.24063307928384,-0.128828673063871
"S100A8hi_macrophage",0.235579519590496,-0.16302549610269
"S100A8hi_macrophage",0.99505134760445,0.332122076157734
"Macrophage_Kupffer",0.580596499360528,-0.214863850318112
"S100A8hi_macrophage",0.146101537536359,0.0857069590670538
"Macrophage_Kupffer",1.64878167616987,-0.326017652574954
"S100A8hi_macrophage",-0.400384379251307,-0.214572345795364
"Neutrophil",1.70977080627135,0.192210247973454
"S100A8hi_macrophage",-0.0669656424500687,-0.204556430087805
"Macrophage_Kupffer",-0.614091130600782,2.19140632206963
"S100A8hi_macrophage",-0.452197245602767,-0.264973900118
"Macrophage_Kupffer",0.275960030947561,-0.139222971940733
"Macrophage_Kupffer",0.164184399210228,1.58301331504176
"S100A8hi_macrophage",0.0881755130900621,0.132702736507258
"Macrophage_Kupffer",-0.299937568936858,-0.0982836164429413
"Macrophage_Kupffer",-0.114871355921974,0.142305362968491
"Macrophage_Kupffer",1.46373727999266,-0.313119500925218
"Macrophage_Kupffer",-0.23292844482998,2.90824618938474
"Macrophage_Kupffer",-0.32814648469354,1.10663461413116
"S100A8hi_macrophage",-0.0149567414454976,-0.211118427220358
"Macrophage_Kupffer",0.155871527422882,0.0432596630017235
"Macrophage_Kupffer",-0.365453950890597,1.8889177011767
"Macrophage_Kupffer",-0.188861269539981,-0.212165911818891
"Macrophage_Kupffer",-0.50990188989438,-0.276061082499406
"Macrophage_Kupffer",-0.606699053089754,0.313627429438398
"Macrophage_Kupffer",1.04401008005469,0.0350511035851353
"S100A8hi_macrophage",-0.0845338108967027,0.122791630461861
"Macrophage_Kupffer",-0.460782273120068,-0.366582842446837
"Macrophage_Kupffer",0.226941281970216,-0.255989302187378
"Macrophage_Kupffer",0.51957454674698,-0.261833208232018
"S100A8hi_macrophage",-0.257687557999591,-0.139523773303444
"Macrophage_Kupffer",-0.412737998522915,-0.194028199099929
"Macrophage_Kupffer",1.27218758848738,-0.036170914020309
"Macrophage_Kupffer",1.10083098485632,-0.326709596048495
"Macrophage_Kupffer",0.834103648269929,0.0885532044808974
"S100A8hi_macrophage",-0.36813423844188,-0.214715948342381
"Macrophage_Kupffer",-0.0680948721907018,-0.0537375231054641
"Macrophage_Kupffer",-0.163856467309806,-0.220826834125992
