"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.52828329307469e-17,1.95086077484386,0.279,0.047,4.83761725296912e-13,"24","Amot"
2.56394124390487e-17,1.69467713443413,0.426,0.098,4.90584517608758e-13,"24","Sun1"
2.6858747357187e-17,1.92509233019826,0.443,0.111,5.13915271932416e-13,"24","Tnfsf12"
2.89629646331762e-17,1.41060867438022,0.475,0.117,5.54177365291193e-13,"24","Serpinb9"
3.26391134807892e-17,1.26308134618481,0.41,0.09,6.24516797341421e-13,"24","Parva"
3.47678390375047e-17,1.61246294165368,0.459,0.113,6.65247832143614e-13,"24","Spint2"
3.59516999664336e-17,1.16091245520852,0.967,0.521,6.8789982715774e-13,"24","Maf"
3.8397950276883e-17,1.80120438224347,0.475,0.125,7.34706380597879e-13,"24","Camsap2"
4.00834575458112e-17,1.22840740840689,0.754,0.274,7.66956876681552e-13,"24","Rbpms"
4.06639218526614e-17,1.27934341883183,0.426,0.096,7.78063480728824e-13,"24","Bcar1"
4.39019202866992e-17,1.4428873719536,0.623,0.202,8.40019342765702e-13,"24","Mcfd2"
5.20310517769799e-17,2.04530943470036,0.295,0.052,9.95562144700734e-13,"24","Asap2"
5.46836832982655e-17,1.30157988929304,0.869,0.386,1.04631759622901e-12,"24","Mbnl2"
5.51074612088252e-17,1.66896551194453,0.377,0.08,1.05442616276966e-12,"24","Adarb1"
5.70245531267222e-17,2.61296465893432,0.311,0.06,1.0911077995267e-12,"24","Sort1"
5.82832031528271e-17,1.38530174829646,0.656,0.213,1.11519080912619e-12,"24","Tmem64"
5.85901548428623e-17,1.53743583309215,0.607,0.195,1.12106402276333e-12,"24","Nfix"
5.95959611596465e-17,1.05906159246325,0.656,0.205,1.14030912082868e-12,"24","Mtus1"
6.2748071825296e-17,1.44342724966884,0.295,0.051,1.20062160630521e-12,"24","Mtss2"
6.75494286506651e-17,1.39337531864321,0.77,0.283,1.29249076780183e-12,"24","Ttc14"
6.77926827563151e-17,1.17425427181599,0.934,0.414,1.29714519185933e-12,"24","Zbtb20"
7.26849157470621e-17,1.34713922401899,0.607,0.178,1.39075317790429e-12,"24","Ndrg1"
8.84645697352815e-17,1.13400021183814,0.738,0.266,1.69268107731488e-12,"24","Crk"
9.2429311498787e-17,1.62003457057655,0.361,0.074,1.76854244621779e-12,"24","Stxbp1"
9.37600995024597e-17,2.05297051296267,0.262,0.043,1.79400574388006e-12,"24","Nr2f1"
9.87797879985649e-17,1.37838357350088,0.639,0.203,1.89005246356454e-12,"24","Ago3"
9.89989049388989e-17,1.82588225490268,0.492,0.137,1.89424504710089e-12,"24","Akap11"
1.00408802455066e-16,1.50718603987518,0.672,0.227,1.92122202617523e-12,"24","Tnfrsf1a"
1.02022422472333e-16,1.78457698243113,0.344,0.069,1.95209703158561e-12,"24","Ripply3"
1.07142338057538e-16,1.62408051371294,0.656,0.225,2.05006149639292e-12,"24","Slc44a2"
1.07581902031091e-16,2.09397135213558,0.41,0.098,2.0584721134629e-12,"24","Atrn"
1.11554393323452e-16,2.34788257446558,0.328,0.064,2.13448176185094e-12,"24","Adgrg1"
1.22104935920278e-16,1.37711791319176,0.475,0.12,2.3363558438986e-12,"24","Smco4"
1.2302710863889e-16,1.60653324035162,0.328,0.064,2.35400069669652e-12,"24","Cpne8"
1.28185606394871e-16,2.02426806004595,0.426,0.102,2.45270339275946e-12,"24","Ifi44"
1.31181352642113e-16,1.79474589489316,0.443,0.109,2.51002400145419e-12,"24","Pam"
1.3293220222826e-16,1.11604658731407,0.738,0.264,2.54352475743552e-12,"24","B230219D22Rik"
1.33219388000434e-16,1.34565630384479,0.623,0.194,2.5490197700003e-12,"24","Tcp11l2"
1.33230818400056e-16,1.4777818297198,0.525,0.148,2.54923847926668e-12,"24","Ccdc85b"
1.51486957235997e-16,1.05762089139354,0.852,0.316,2.89855143975357e-12,"24","Mtss1"
1.51539863973732e-16,1.73846865158524,0.475,0.126,2.89956375727339e-12,"24","Sptlc1"
1.55097205932498e-16,2.05030593487659,0.377,0.086,2.96762993831241e-12,"24","Gm37494"
1.61008739403577e-16,2.19680064841519,0.393,0.093,3.08074121974805e-12,"24","Itga5"
1.664712771009e-16,1.19301825779233,0.902,0.423,3.18526141604863e-12,"24","Ctnnb1"
1.73471609836509e-16,2.31319291699503,0.377,0.085,3.31920578261176e-12,"24","Yeats2"
1.77685287201077e-16,1.95491083782638,0.393,0.091,3.3998302853054e-12,"24","Grasp"
1.97122603139064e-16,1.6913740513731,0.475,0.127,3.77174388846285e-12,"24","Tollip"
2.04197370324409e-16,1.782077002448,0.279,0.048,3.90711248378724e-12,"24","Dennd3"
2.05149142047155e-16,0.88682259922295,0.902,0.343,3.92532368393026e-12,"24","Mrc1"
2.09267764669178e-16,2.14694879596485,0.344,0.071,4.00412940918005e-12,"24","Fgfr1"
2.11583226385249e-16,1.21270389991803,0.77,0.292,4.04843345365535e-12,"24","Lpp"
2.17055462443248e-16,2.07053880761336,0.262,0.044,4.1531392183891e-12,"24","Gm30938"
2.17620113684376e-16,1.66786227729707,0.459,0.118,4.16394325523685e-12,"24","Fut11"
2.36219298951697e-16,1.6771172852305,0.623,0.21,4.51982006614177e-12,"24","Hip1"
2.51709402904461e-16,1.64740635021664,0.426,0.103,4.81620771517396e-12,"24","Zfp945"
2.60653710518991e-16,2.09362879870988,0.311,0.062,4.98734809707038e-12,"24","Fam129b"
2.64587929431614e-16,1.40338087543082,0.803,0.328,5.0626254417445e-12,"24","Mxd4"
2.79068064307251e-16,1.69759034858689,0.328,0.065,5.33968834245493e-12,"24","Magi1"
3.02189369417089e-16,2.00150932434859,0.393,0.092,5.78209139442659e-12,"24","Kctd12b"
3.09794342726783e-16,1.63514437161823,0.41,0.097,5.92760495373426e-12,"24","Maged1"
3.29515848884332e-16,1.17549912446867,0.918,0.438,6.3049562525528e-12,"24","Foxp1"
3.56884474475991e-16,1.45557155425209,0.639,0.217,6.82862753462361e-12,"24","Tnrc18"
3.82286996334958e-16,1.4007787077647,0.787,0.323,7.31467938787308e-12,"24","Adam10"
3.97362692883592e-16,1.48137218282452,0.59,0.192,7.60313776563465e-12,"24","Lats2"
3.99015014278633e-16,1.10603706514703,0.869,0.392,7.63475328320736e-12,"24","Tcf4"
4.12526667959875e-16,1.47765155205546,0.623,0.204,7.89328526474425e-12,"24","Dram2"
4.15961662436598e-16,2.24806890049233,0.279,0.05,7.95901044906186e-12,"24","Rab6b"
4.63420671455252e-16,2.32052911714271,0.344,0.075,8.86709112762479e-12,"24","Acvr1"
4.99314337324843e-16,1.34432700413857,0.639,0.213,9.55388053037354e-12,"24","Znrf1"
5.31385914765179e-16,2.0239697651682,0.377,0.085,1.01675380931169e-11,"24","G2e3"
5.49103923232305e-16,1.78032045317882,0.344,0.072,1.05065544671269e-11,"24","Adamts10"
5.77638315313954e-16,1.25499363809282,0.639,0.206,1.10525315252172e-11,"24","Rasa1"
6.35623212514338e-16,1.01872857053732,1,0.572,1.21620145482493e-11,"24","Cst3"
6.88660281014063e-16,1.79592068088141,0.377,0.085,1.31768258169231e-11,"24","Ddah2"
7.05718093642238e-16,2.11891864367744,0.393,0.094,1.35032100037506e-11,"24","Itga6"
7.63175375766117e-16,0.82648522022738,0.852,0.321,1.46025976399089e-11,"24","Mylip"
7.66423020910496e-16,1.25154851498916,0.787,0.319,1.46647380821014e-11,"24","Ppp1r2"
9.13762904398994e-16,1.30529766840025,0.508,0.141,1.74839394127704e-11,"24","Numb"
9.40924971044831e-16,0.981373150822456,0.623,0.187,1.80036583959718e-11,"24","Phldb2"
9.70604846874287e-16,1.23187141675046,0.951,0.513,1.85715531400926e-11,"24","Macf1"
1.01027264048776e-15,1.98235808669028,0.328,0.067,1.93305567030929e-11,"24","Adgrl1"
1.03686803439012e-15,1.17909168094784,0.836,0.364,1.98394329700206e-11,"24","Vim"
1.08122043825801e-15,1.80983295898541,0.393,0.094,2.06880718656288e-11,"24","Sh3rf1"
1.15743113989441e-15,0.941276750498031,0.541,0.143,2.21462874307397e-11,"24","Myct1"
1.18272709061241e-15,1.06954746985012,0.672,0.222,2.26303001517778e-11,"24","Zeb1"
1.18548866244526e-15,1.35937463275989,0.77,0.315,2.26831400672276e-11,"24","Atp6ap1"
1.21701567450473e-15,1.52347885470897,0.574,0.183,2.32863779159735e-11,"24","Exoc6"
1.25421409518642e-15,1.72226540319987,0.344,0.073,2.39981324972969e-11,"24","Tspan2"
1.28282471479416e-15,1.50277099714205,0.689,0.262,2.45455680928715e-11,"24","Dennd5a"
1.32041069893355e-15,1.01281504465118,0.623,0.194,2.52647383133945e-11,"24","Dennd5b"
1.33991577549148e-15,1.21751991576239,0.803,0.314,2.5637948448254e-11,"24","Dnase1l3"
1.36888722256048e-15,1.93915735918325,0.377,0.088,2.61922881164722e-11,"24","Galnt10"
1.40334268645196e-15,2.01752098629016,0.361,0.08,2.68515589625719e-11,"24","St6galnac3"
1.45076695757145e-15,1.74419325622269,0.361,0.079,2.7758974966172e-11,"24","Nectin2"
1.55679032849375e-15,2.33368841599508,0.262,0.047,2.97876261453995e-11,"24","Ercc4"
1.59479601455546e-15,1.69467541623497,0.393,0.094,3.05148269425041e-11,"24","Bag5"
1.61591891340935e-15,1.46730274218855,0.393,0.093,3.09189924891745e-11,"24","Rab28"
1.68039631707046e-15,1.30616873332877,0.672,0.248,3.21527031308262e-11,"24","Tulp4"
1.74727515228186e-15,1.27043246637035,0.721,0.274,3.34323627637611e-11,"24","Pttg1ip"
