"cluster","gene","avg_log2FC","p_val_adj"
"B_cell","Avl9",1.60398905474311,7.5866309587719e-102
"B_cell","Ikzf1",1.19187104905659,1.40507453848185e-101
"B_cell","Ptma",0.519310029131739,3.28505180694412e-100
"B_cell","Tmem123",1.27768392463462,7.33840106875596e-99
"B_cell","Grk6",1.94820735542068,1.18521294650267e-98
"B_cell","Ptbp3",0.71284921375595,1.42033365456681e-98
"B_cell","Tnrc6b",1.07640350321867,9.65555326560019e-98
"B_cell","Snx2",1.04197406551678,1.84381255068921e-97
"B_cell","Pabpc1",0.670931746588089,1.39995188391846e-96
"B_cell","Rpl15",0.578067316976888,2.34767556077444e-96
"B_cell","Unc93b1",0.952769106192287,3.51557290095489e-96
"B_cell","Kmt2a",1.17825040571026,3.97489074988958e-96
"B_cell","Nktr",0.946221316330847,5.19077237344372e-96
"B_cell","Bclaf1",1.06971957158206,9.22694128034201e-96
"B_cell","Ube2d3",0.759129655966472,1.14386271764255e-95
"B_cell","Rcsd1",1.60028359981778,1.04168668257552e-94
"B_cell","Trim12a",1.50995294269382,1.15126342949336e-93
"B_cell","Itga4",0.764394757619407,1.22534859639145e-93
"B_cell","Son",0.724666118815789,5.233194971793e-93
"B_cell","Eif3f",0.820334346134051,6.85279640608903e-93
"B_cell","Arhgap45",1.21204260238265,2.56832022216734e-92
"B_cell","Runx1",1.2979465899804,3.11726140404524e-92
"B_cell","Arpc5l",1.45861482029321,4.87211853015417e-91
"B_cell","Samhd1",0.89725221644569,1.18285826871811e-89
"B_cell","Elf1",0.911130531344678,7.07702790864823e-89
"B_cell","Ikbkb",1.33861557039985,1.04020661815111e-88
"B_cell","Stk24",1.35596381615443,2.95234557191253e-88
"B_cell","Pag1",1.88542997176449,8.72194201009979e-88
"B_cell","Ier2",1.14125915891957,1.04063592349809e-87
"B_cell","Kdm6b",1.10549116588806,1.06338791775493e-87
"B_cell","Arhgef1",1.34446965542754,1.98694815688169e-86
"B_cell","Samd9l",1.39991115079965,9.02070052201767e-86
"B_cell","Srsf3",0.835108129088173,1.17409730056695e-84
"B_cell","Ppp1r16b",1.49144055352071,2.9579948233059e-84
"B_cell","Eef1g",0.820753486599095,1.54439000841362e-83
"B_cell","Gnl3",1.59455903163296,2.24633487297309e-82
"B_cell","Hnrnpdl",1.12099319308981,3.80419654422319e-82
"B_cell","N4bp2l2",1.17958582136978,6.36880046256181e-82
"B_cell","Polr2a",1.41658228463188,8.21458663464786e-82
"B_cell","Egr1",1.80228487378284,1.57401914553942e-81
"B_cell","Bmp2k",1.59743053362214,5.29976119651095e-81
"B_cell","Msn",0.64203102480796,7.57586203804622e-81
"B_cell","Sh3bgrl3",0.540591836994832,3.32487769479584e-80
"B_cell","Hist1h1e",1.52817002802623,4.8341788961622e-79
"B_cell","Irf2",0.89351719500096,1.1416253900786e-78
"B_cell","Btg2",0.720027415950467,1.34818453895386e-77
"B_cell","Prrc2c",0.736159651036366,2.43925512314715e-77
"B_cell","Elmo1",1.43405902797063,3.9273869250371e-77
"B_cell","Lncpint",1.71604516771766,4.35092619414222e-77
"B_cell","Arid1a",1.07200337539085,6.25510827635157e-77
"B_cell","Stt3b",1.63999619578031,9.06343513135681e-77
"B_cell","Grk2",1.01477155433444,1.00850577723544e-76
"B_cell","Fam49b",0.738892712344892,1.26553421077859e-76
"B_cell","Mndal",0.905901046559656,9.72581241485496e-76
"B_cell","Pan3",1.00679378414396,1.21899658399044e-75
"B_cell","Fam43a",1.18435555906941,2.73966092881625e-75
"B_cell","Dock10",0.998087373731057,3.10298999395513e-75
"B_cell","Itsn2",1.17005124060487,8.39715854905812e-75
"B_cell","Rasgrp2",1.16276454271347,1.34415435853086e-74
"B_cell","Dock11",1.82960042373208,1.64293500156579e-74
"B_cell","B4galnt1",1.32895030911857,2.29536222529777e-74
"B_cell","Srsf11",0.913866937515091,2.93729449997138e-74
"B_cell","Git2",1.24233204840518,1.01783088012027e-73
"B_cell","Rnase6",1.11914688727362,2.42162692511394e-73
"B_cell","Vps37b",0.8664549021136,6.87855496626687e-73
"B_cell","Hnrnpa1",0.933714847775137,7.91010108527225e-73
"B_cell","Rassf2",1.8075686817737,8.85163221239689e-73
"B_cell","Rbm5",1.1908718879415,1.31893810089659e-72
"B_cell","Srebf2",1.69899336758408,1.37559203358476e-72
"B_cell","Ncl",0.754311633272253,2.20412616648547e-72
"B_cell","Arap2",1.29527324860836,4.2848439918677e-72
"B_cell","Mtss1",0.775038463240952,5.32599283240015e-72
"B_cell","Iqsec1",1.41865482796549,5.834459547943e-72
"B_cell","Sesn1",1.9442875116178,8.51858389843095e-72
"B_cell","Gimap1",1.27284594255464,4.56738801853871e-71
"B_cell","Ccnt1",1.40981974918914,5.30325973910664e-71
"B_cell","Sf3b1",0.682325511601809,5.94680404352184e-71
"B_cell","Eml4",1.45725142214585,7.79696308178115e-71
"B_cell","Mif4gd",1.63808903704963,1.97923425239102e-70
"B_cell","Nipbl",0.857215024369002,2.69903150677991e-70
"B_cell","Kif21b",1.77071132742744,7.60855389986029e-70
"B_cell","Gpcpd1",1.15225427490831,1.39660489413847e-68
"B_cell","Sun2",1.47018623181267,2.01788212287338e-68
"B_cell","Ptpn6",0.946505279443598,2.47836700289902e-68
"B_cell","Srsf10",1.28127358928811,3.19603604460987e-68
"B_cell","Cpsf6",1.26642304319071,9.85251206807233e-68
"B_cell","Mef2d",1.33981964766259,1.20372252158681e-67
"B_cell","Hmgn1",0.943200799474518,1.35997289913312e-67
"B_cell","Helz2",1.51383688435307,3.17256487291957e-67
"B_cell","Rasa3",1.7752248949804,5.22602897958024e-67
"B_cell","Slc38a2",0.866000280549394,1.85956598918826e-66
"B_cell","Clk4",1.40502541043767,2.07336326490495e-66
"B_cell","Nedd9",1.46821036748708,2.15638724440504e-66
"B_cell","Nfat5",1.18536671795399,2.25804873963223e-66
"B_cell","Trp53i11",1.33142448073828,4.40250193528891e-66
"B_cell","Cerk",1.54538580125913,4.87663023341627e-66
"B_cell","Pip4p1",1.58112895985394,1.29787166555553e-65
"B_cell","Cnp",1.77866425967373,2.47572880261697e-65
"B_cell","Limd1",1.38008584993273,3.08561029833965e-65
"B_cell","Ppm1g",1.65266394080226,5.14001425299598e-65
"B_cell","Arf6",1.26345782365706,7.25195897915009e-65
"B_cell","Pcf11",1.38998736365358,1.88319478746704e-64
"B_cell","Cenpa",1.67693251264681,2.6142626103669e-64
"B_cell","Nfatc1",1.44611104955856,7.83663038911693e-64
"B_cell","Stk4",1.21691360408769,1.38014929025904e-63
"B_cell","Vamp2",1.54353633745568,2.66113249561062e-63
"B_cell","Foxn3",0.879527935666243,1.2031591946201e-62
"B_cell","H2-DMb1",1.02972578265707,2.44181756074652e-62
"B_cell","Rbm3",0.734959644485542,7.31457647801371e-62
"B_cell","Gas5",0.607010665746474,8.05670777438138e-61
"B_cell","Snhg1",1.5022121879987,1.87140021966842e-60
"B_cell","Bin1",1.69372344476602,2.51501521437839e-60
"B_cell","Eef1b2",0.508192609915883,3.48121026920539e-60
"B_cell","Setd2",1.15992538210276,9.60862979642761e-59
"B_cell","Prpf39",1.24766754692004,1.63572201883616e-58
"B_cell","Zfas1",1.25065335488678,3.50481369670861e-58
"B_cell","Mdm4",1.15422424208228,1.32881855474609e-57
"B_cell","Safb2",1.14656864629344,1.79163083110289e-57
"B_cell","Tmem245",1.54593676144033,1.93719050959922e-57
"B_cell","Gm11808",0.927041351880252,1.03183637683442e-56
"B_cell","Rbm33",1.46303659413967,2.35884425475046e-56
"B_cell","Hnrnpa0",0.722847651587612,6.63372953969369e-56
"B_cell","Rasgrp3",0.746700820853037,1.55286808821012e-55
"B_cell","Tgif1",1.21058700835969,2.24144011231788e-55
"B_cell","Ash1l",0.912368651489346,7.64601867412362e-55
"B_cell","Tcf3",1.73532177932767,2.32587934088309e-54
"B_cell","Pik3ap1",1.18205567821813,3.58114740361545e-54
"B_cell","Ccm2",1.62084463487463,8.21283632083975e-54
"B_cell","Ddit3",1.50022480974412,1.22317301761782e-53
"B_cell","Nop53",0.856844682406861,1.84751826101731e-53
"B_cell","Ssh2",0.880547258921182,2.30970603836571e-53
"B_cell","Rpl22l1",0.668250715297265,5.99320119145586e-53
"B_cell","Sdc4",0.693635530256248,9.16996606897325e-53
